vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.8442,0.194,0.08,0.726,False,Solo Leisure,Economy Class,390,1
-0.836,0.015,0.125,0.86,False,Business,Economy Class,393,0
-0.8979,0.078,0.112,0.81,True,Couple Leisure,Business Class,1464,1
-0.7341,0.041,0.105,0.854,False,Solo Leisure,Economy Class,773,0
0.9484,0.159,0.041,0.799,False,Solo Leisure,Economy Class,685,1
-0.93,0.092,0.18,0.728,True,Couple Leisure,Premium Economy,760,0
-0.5958,0.039,0.074,0.887,True,Couple Leisure,Economy Class,665,0
0.9628,0.251,0.0,0.749,True,Solo Leisure,Economy Class,336,1
0.9142,0.16,0.103,0.736,False,Solo Leisure,Economy Class,754,1
0.5653,0.118,0.109,0.774,True,Family Leisure,Economy Class,832,0
0.0106,0.084,0.077,0.839,True,Couple Leisure,Economy Class,694,0
-0.4826,0.041,0.131,0.827,True,Business,Business Class,201,0
-0.8843,0.04,0.144,0.816,False,Couple Leisure,Economy Class,667,0
0.7453,0.051,0.041,0.908,True,Couple Leisure,Economy Class,2154,0
0.9867,0.202,0.016,0.781,False,Solo Leisure,Economy Class,1008,1
-0.4935,0.104,0.098,0.799,True,Business,Economy Class,1449,0
0.9714,0.162,0.0,0.838,True,Business,Economy Class,715,1
0.9788,0.319,0.0,0.681,False,Solo Leisure,Economy Class,458,1
-0.6204,0.121,0.134,0.745,False,Family Leisure,Economy Class,756,1
-0.8277,0.041,0.142,0.817,True,Family Leisure,Economy Class,459,1
0.0516,0.071,0.093,0.836,True,Family Leisure,Economy Class,505,0
0.98,0.458,0.0,0.542,True,Solo Leisure,Economy Class,215,1
-0.9361,0.029,0.173,0.798,True,Business,Economy Class,455,0
0.4741,0.095,0.094,0.811,True,Business,Economy Class,844,0
-0.2023,0.0,0.031,0.969,True,Business,Economy Class,394,0
-0.9063,0.0,0.174,0.826,True,Family Leisure,Economy Class,326,0
0.7269,0.084,0.02,0.896,True,Solo Leisure,Economy Class,462,1
0.9647,0.19,0.075,0.735,True,Couple Leisure,Economy Class,821,1
-0.8255,0.0,0.076,0.924,True,Couple Leisure,Economy Class,511,0
0.9193,0.16,0.031,0.809,True,Solo Leisure,Economy Class,532,0
0.5559,0.043,0.03,0.927,True,Solo Leisure,Economy Class,914,0
-0.6702,0.069,0.153,0.778,True,Couple Leisure,Economy Class,333,0
0.5848,0.072,0.039,0.889,True,Solo Leisure,Economy Class,580,0
-0.2748,0.049,0.07,0.88,True,Business,Economy Class,450,0
0.9719,0.245,0.0,0.755,False,Solo Leisure,Business Class,495,1
0.8567,0.101,0.015,0.885,False,Family Leisure,Economy Class,495,1
-0.9821,0.036,0.125,0.839,False,Couple Leisure,Economy Class,1596,0
-0.0516,0.05,0.03,0.921,True,Couple Leisure,Economy Class,698,0
0.9603,0.392,0.0,0.608,True,Couple Leisure,Economy Class,183,1
-0.9013,0.0,0.134,0.866,False,Couple Leisure,Economy Class,505,0
0.1406,0.048,0.024,0.928,False,Solo Leisure,Economy Class,347,0
-0.9835,0.0,0.232,0.768,False,Couple Leisure,Economy Class,591,0
-0.7783,0.015,0.063,0.922,False,Family Leisure,Economy Class,961,0
-0.9653,0.046,0.16,0.794,False,Couple Leisure,Economy Class,754,0
-0.7469,0.057,0.11,0.834,False,Family Leisure,Economy Class,437,0
-0.7264,0.08,0.11,0.81,True,Family Leisure,Economy Class,475,0
-0.4234,0.077,0.109,0.814,True,Family Leisure,Economy Class,354,0
-0.8442,0.019,0.083,0.898,False,Couple Leisure,Economy Class,706,0
0.9756,0.384,0.0,0.616,True,Family Leisure,Economy Class,295,1
0.4939,0.082,0.065,0.853,False,Couple Leisure,Economy Class,549,0
