vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,row_id,Review Date,Date Flown,Recommended
-0.3612,0.075,0.116,0.809,True,Solo Leisure,Premium Economy,341,155,2022-07-07,2022-07-01,0
-0.8617,0.047,0.114,0.838,True,Solo Leisure,Economy Class,850,156,2022-07-03,2022-07-01,0
0.8442,0.194,0.08,0.726,False,Solo Leisure,Economy Class,390,157,2022-06-26,2022-06-01,1
-0.836,0.015,0.125,0.86,False,Business,Economy Class,393,158,2022-06-25,2022-06-01,0
-0.8979,0.078,0.112,0.81,True,Couple Leisure,Business Class,1464,159,2022-06-20,2022-06-01,1
-0.7341,0.041,0.105,0.854,False,Solo Leisure,Economy Class,773,160,2022-06-20,2022-06-01,0
0.9484,0.159,0.041,0.799,False,Solo Leisure,Economy Class,685,161,2022-06-18,2022-06-01,1
-0.93,0.092,0.18,0.728,True,Couple Leisure,Premium Economy,760,162,2022-05-05,2022-05-01,0
-0.5958,0.039,0.074,0.887,True,Couple Leisure,Economy Class,665,163,2022-05-04,2022-05-01,0
0.9628,0.251,0.0,0.749,True,Solo Leisure,Economy Class,336,164,2022-04-24,2022-04-01,1
0.9142,0.16,0.103,0.736,False,Solo Leisure,Economy Class,754,165,2022-04-20,2022-04-01,1
0.5653,0.118,0.109,0.774,True,Family Leisure,Economy Class,832,166,2022-04-19,2021-05-01,0
0.0106,0.084,0.077,0.839,True,Couple Leisure,Economy Class,694,167,2022-04-19,2022-04-01,0
-0.4826,0.041,0.131,0.827,True,Business,Business Class,201,168,2022-04-08,2022-04-01,0
-0.8843,0.04,0.144,0.816,False,Couple Leisure,Economy Class,667,169,2022-04-07,2021-09-01,0
0.7453,0.051,0.041,0.908,True,Couple Leisure,Economy Class,2154,170,2022-04-04,2022-04-01,0
0.9867,0.202,0.016,0.781,False,Solo Leisure,Economy Class,1008,171,2022-04-03,2022-03-01,1
-0.4935,0.104,0.098,0.799,True,Business,Economy Class,1449,172,2022-04-01,2022-04-01,0
0.9714,0.162,0.0,0.838,True,Business,Economy Class,715,173,2022-03-06,2022-02-01,1
0.9788,0.319,0.0,0.681,False,Solo Leisure,Economy Class,458,174,2022-02-21,2022-02-01,1
-0.6204,0.121,0.134,0.745,False,Family Leisure,Economy Class,756,175,2022-02-20,2022-02-01,1
-0.8277,0.041,0.142,0.817,True,Family Leisure,Economy Class,459,176,2022-01-05,2021-12-01,1
0.0516,0.071,0.093,0.836,True,Family Leisure,Economy Class,505,177,2021-12-31,2021-12-01,0
0.98,0.458,0.0,0.542,True,Solo Leisure,Economy Class,215,178,2021-12-25,2021-11-01,1
-0.9361,0.029,0.173,0.798,True,Business,Economy Class,455,179,2021-12-07,2021-12-01,0
0.4741,0.095,0.094,0.811,True,Business,Economy Class,844,180,2021-11-15,2021-11-01,0
-0.2023,0.0,0.031,0.969,True,Business,Economy Class,394,181,2021-11-04,2021-11-01,0
-0.9063,0.0,0.174,0.826,True,Family Leisure,Economy Class,326,182,2021-11-03,2021-11-01,0
0.7269,0.084,0.02,0.896,True,Solo Leisure,Economy Class,462,183,2021-10-10,2021-10-01,1
0.9647,0.19,0.075,0.735,True,Couple Leisure,Economy Class,821,184,2021-10-02,2021-10-01,1
-0.8255,0.0,0.076,0.924,True,Couple Leisure,Economy Class,511,185,2021-10-02,2021-10-01,0
0.9193,0.16,0.031,0.809,True,Solo Leisure,Economy Class,532,186,2021-09-26,2021-09-01,0
0.5559,0.043,0.03,0.927,True,Solo Leisure,Economy Class,914,187,2021-09-14,2021-09-01,0
-0.6702,0.069,0.153,0.778,True,Couple Leisure,Economy Class,333,188,2021-09-12,2021-09-01,0
0.5848,0.072,0.039,0.889,True,Solo Leisure,Economy Class,580,189,2021-09-10,2021-09-01,0
-0.2748,0.049,0.07,0.88,True,Business,Economy Class,450,190,2021-09-09,2021-09-01,0
0.9719,0.245,0.0,0.755,False,Solo Leisure,Business Class,495,191,2021-09-04,2021-09-01,1
0.8567,0.101,0.015,0.885,False,Family Leisure,Economy Class,495,192,2021-09-03,2021-09-01,1
-0.9821,0.036,0.125,0.839,False,Couple Leisure,Economy Class,1596,193,2023-07-21,2022-08-01,0
-0.0516,0.05,0.03,0.921,True,Couple Leisure,Economy Class,698,194,2023-07-18,2023-07-01,0
0.9603,0.392,0.0,0.608,True,Couple Leisure,Economy Class,183,195,2023-07-18,2023-07-01,1
-0.9013,0.0,0.134,0.866,False,Couple Leisure,Economy Class,505,196,2023-07-18,2023-07-01,0
0.1406,0.048,0.024,0.928,False,Solo Leisure,Economy Class,347,197,2023-07-15,2023-07-01,0
-0.9835,0.0,0.232,0.768,False,Couple Leisure,Economy Class,591,198,2023-07-14,2023-05-01,0
-0.7783,0.015,0.063,0.922,False,Family Leisure,Economy Class,961,199,2023-07-10,2023-07-01,0
-0.9653,0.046,0.16,0.794,False,Couple Leisure,Economy Class,754,200,2023-07-01,2023-06-01,0
-0.7469,0.057,0.11,0.834,False,Family Leisure,Economy Class,437,201,2023-06-30,2023-06-01,0
-0.7264,0.08,0.11,0.81,True,Family Leisure,Economy Class,475,202,2023-06-30,2022-08-01,0
-0.4234,0.077,0.109,0.814,True,Family Leisure,Economy Class,354,203,2023-06-29,2023-06-01,0
-0.8442,0.019,0.083,0.898,False,Couple Leisure,Economy Class,706,204,2023-06-28,2023-06-01,0
0.9756,0.384,0.0,0.616,True,Family Leisure,Economy Class,295,205,2023-06-27,2023-06-01,1
0.4939,0.082,0.065,0.853,False,Couple Leisure,Economy Class,549,206,2023-06-25,2023-06-01,0
-0.7263,0.0,0.076,0.924,True,Couple Leisure,Economy Class,440,207,2023-06-20,2023-05-01,0
-0.9765,0.053,0.193,0.754,True,Solo Leisure,Economy Class,862,208,2023-06-18,2023-06-01,0
-0.871,0.134,0.209,0.657,False,Couple Leisure,Economy Class,511,209,2023-06-17,2023-06-01,0
0.9751,0.118,0.045,0.837,True,Couple Leisure,Business Class,1553,210,2023-06-14,2023-06-01,1
-0.8136,0.019,0.04,0.941,True,Family Leisure,Economy Class,1880,211,2023-06-14,2023-05-01,0
-0.9948,0.025,0.206,0.769,False,Business,Economy Class,1306,212,2023-06-13,2023-06-01,0
