aspect_seat,aspect_food,aspect_staff,aspect_ground_service,aspect_entertainment,aspect_seat_missing,aspect_food_missing,aspect_staff_missing,aspect_ground_service_missing,aspect_entertainment_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
,,0.91,,,1,1,0,1,1,False,Solo Leisure,Economy Class,542,1
-0.4215,,-0.4215,-0.4215,,0,1,0,0,1,True,Business,Economy Class,693,0
,0.4779,0.4779,0.4779,,1,0,0,0,1,True,Family Leisure,Economy Class,1497,0
-0.8316,,,-0.8316,,0,1,1,0,1,True,Family Leisure,Economy Class,405,0
,,,-0.6519,-0.6519,1,1,1,0,0,False,Couple Leisure,Economy Class,759,0
0.9777,0.9777,0.9777,0.9777,,0,0,0,0,1,True,Solo Leisure,Economy Class,1855,0
0.9081,0.9081,,,0.9081,0,0,1,1,0,False,Couple Leisure,Economy Class,489,1
-0.9657,,-0.9657,-0.9657,,0,1,0,0,1,True,Couple Leisure,Economy Class,1352,0
-0.6908,-0.6908,-0.6908,-0.6908,,0,0,0,0,1,True,Family Leisure,Business Class,1543,0
,,,-0.9576,,1,1,1,0,1,False,Solo Leisure,Economy Class,629,0
,,,-0.6597,,1,1,1,0,1,True,Family Leisure,Economy Class,433,0
,,-0.8752,-0.8752,,1,1,0,0,1,False,Family Leisure,Economy Class,901,0
,,0.743,0.743,,1,1,0,0,1,False,Solo Leisure,Economy Class,1413,0
0.6961,0.6961,0.6961,0.6961,0.6961,0,0,0,0,0,True,Solo Leisure,Economy Class,1329,0
,,,0.8361,,1,1,1,0,1,False,Business,Premium Economy,464,0
,,-0.9485,-0.9485,,1,1,0,0,1,False,Couple Leisure,Economy Class,1032,0
,,,-0.8658,,1,1,1,0,1,True,Solo Leisure,Economy Class,516,0
-0.7506,,,-0.7506,,0,1,1,0,1,True,Solo Leisure,Economy Class,180,0
,-0.9686,-0.9686,-0.9686,,1,0,0,0,1,False,Family Leisure,Economy Class,1206,0
,,-0.8834,-0.8834,,1,1,0,0,1,False,Solo Leisure,Economy Class,472,0
,,-0.9097,-0.9097,,1,1,0,0,1,True,Couple Leisure,Economy Class,467,0
,-0.7496,,-0.7496,,1,0,1,0,1,True,Family Leisure,Economy Class,215,0
,,,-0.9507,-0.9507,1,1,1,0,0,False,Couple Leisure,Economy Class,1056,0
-0.692,-0.692,-0.692,-0.692,-0.692,0,0,0,0,0,True,Family Leisure,Economy Class,1672,0
,-0.9468,-0.9468,,,1,0,0,1,1,True,Solo Leisure,Economy Class,152,0
,0.0258,0.0258,,,1,0,0,1,1,False,Solo Leisure,Economy Class,338,0
,,0.7425,0.7425,,1,1,0,0,1,True,Couple Leisure,Economy Class,749,0
,,,-0.6369,,1,1,1,0,1,False,Couple Leisure,Economy Class,781,0
,,0.25,0.25,,1,1,0,0,1,False,Business,Business Class,709,0
,,-0.5994,-0.5994,,1,1,0,0,1,True,Solo Leisure,Economy Class,607,0
0.9535,0.9535,0.9535,,,0,0,0,1,1,False,Solo Leisure,Economy Class,557,0
,,-0.8126,-0.8126,-0.8126,1,1,0,0,0,True,Solo Leisure,Economy Class,469,0
,,-0.897,-0.897,,1,1,0,0,1,False,Couple Leisure,Economy Class,397,0
