vader_compound,vader_pos,vader_neg,vader_neu,aspect_seat,aspect_food,aspect_staff,aspect_ground_service,aspect_entertainment,aspect_seat_missing,aspect_food_missing,aspect_staff_missing,aspect_ground_service_missing,aspect_entertainment_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.5693,0.048,0.021,0.931,0.4767,,0.4767,0.4767,,0,1,0,0,1,True,Family Leisure,Economy Class,714,0
-0.7705,0.085,0.13,0.785,,,0.904,0.904,,1,1,0,0,1,False,Solo Leisure,Economy Class,731,0
0.9379,0.146,0.046,0.808,0.9432,,0.9432,0.9432,,0,1,0,0,1,True,Family Leisure,Economy Class,683,0
0.0,0.0,0.0,1.0,,,,0.0,,1,1,1,0,1,True,Solo Leisure,Economy Class,198,0
-0.9193,0.0,0.36,0.64,,,-0.9042,-0.9042,,1,1,0,0,1,True,Solo Leisure,Economy Class,161,0
0.7252,0.062,0.012,0.926,0.9034,,,0.9034,,0,1,1,0,1,True,Family Leisure,Economy Class,910,0
0.9562,0.303,0.0,0.697,,,0.9544,,,1,1,0,1,1,True,Solo Leisure,Economy Class,287,1
-0.6014,0.109,0.124,0.766,,-0.8154,-0.8154,-0.8154,,1,0,0,0,1,True,Family Leisure,Economy Class,1142,0
-0.9846,0.009,0.241,0.749,,,,-0.9571,,1,1,1,0,1,True,Business,Economy Class,644,0
0.991,0.29,0.013,0.698,,0.9755,0.9755,0.9755,,1,0,0,0,1,True,Solo Leisure,Economy Class,587,1
-0.8979,0.014,0.156,0.83,,,,-0.8979,,1,1,1,0,1,True,Couple Leisure,Economy Class,351,0
-0.9571,0.056,0.126,0.818,-0.9393,,-0.9393,-0.9393,,0,1,0,0,1,True,Business,Economy Class,1259,0
-0.8228,0.07,0.135,0.795,,,0.2263,0.2263,,1,1,0,0,1,True,Couple Leisure,Economy Class,644,0
-0.9371,0.015,0.111,0.874,,,,-0.8625,,1,1,1,0,1,False,Couple Leisure,Economy Class,1176,0
-0.1685,0.101,0.131,0.768,,,,0.3818,,1,1,1,0,1,True,Solo Leisure,Economy Class,427,0
0.2984,0.055,0.061,0.884,,-0.128,,-0.128,,1,0,1,0,1,True,Couple Leisure,Economy Class,602,0
0.9483,0.132,0.064,0.804,,0.5401,0.5401,0.5401,,1,0,0,0,1,True,Family Leisure,Economy Class,1044,1
0.981,0.488,0.0,0.512,0.981,,0.981,,,0,1,0,1,1,True,Solo Leisure,Economy Class,185,1
0.0,0.0,0.0,1.0,,-0.3182,-0.3182,-0.3182,,1,0,0,0,1,True,Business,Economy Class,189,0
-0.5659,0.015,0.043,0.942,0.5719,0.5719,0.5719,0.5719,,0,0,0,0,1,True,Couple Leisure,Economy Class,1084,0
0.8223,0.141,0.101,0.758,0.9441,0.9441,0.9441,,0.9441,0,0,0,1,0,True,Solo Leisure,Economy Class,663,1
-0.7241,0.0,0.067,0.933,-0.5106,,,,,0,1,1,1,1,True,Couple Leisure,Economy Class,541,0
-0.296,0.0,0.028,0.972,0.0,,,,,0,1,1,1,1,True,Couple Leisure,Economy Class,420,0
0.8354,0.139,0.0,0.861,,0.8221,0.8221,,,1,0,0,1,1,True,Solo Leisure,Economy Class,301,1
-0.9419,0.008,0.122,0.869,,,-0.3658,-0.3658,-0.3658,1,1,0,0,0,True,Solo Leisure,Economy Class,734,0
0.9893,0.393,0.023,0.584,,,0.9891,0.9891,,1,1,0,0,1,False,Business,Economy Class,448,1
-0.7351,0.058,0.212,0.73,,,,-0.6124,,1,1,1,0,1,True,Family Leisure,Economy Class,165,0
-0.8098,0.026,0.161,0.813,,-0.3612,,-0.3612,,1,0,1,0,1,True,Business,Economy Class,337,0
-0.7251,0.0,0.136,0.864,,,,-0.5965,,1,1,1,0,1,True,Business,Economy Class,265,0
-0.6377,0.052,0.151,0.796,,,,-0.8481,,1,1,1,0,1,True,Couple Leisure,Economy Class,243,0
0.765,0.122,0.093,0.785,,,0.8316,0.8316,,1,1,0,0,1,False,Solo Leisure,Economy Class,797,1
0.6948,0.097,0.065,0.838,0.8658,,0.8658,0.8658,,0,1,0,0,1,True,Solo Leisure,Economy Class,640,0
-0.3612,0.075,0.116,0.809,,,,-0.3612,,1,1,1,0,1,True,Solo Leisure,Premium Economy,341,0
-0.8617,0.047,0.114,0.838,,,,-0.296,,1,1,1,0,1,True,Solo Leisure,Economy Class,850,0
0.8442,0.194,0.08,0.726,,0.8908,0.8908,0.8908,,1,0,0,0,1,False,Solo Leisure,Economy Class,390,1
-0.836,0.015,0.125,0.86,,,,-0.5106,,1,1,1,0,1,False,Business,Economy Class,393,0
-0.8979,0.078,0.112,0.81,0.9419,,0.9419,0.9419,,0,1,0,0,1,True,Couple Leisure,Business Class,1464,1
-0.7341,0.041,0.105,0.854,,,,-0.8425,,1,1,1,0,1,False,Solo Leisure,Economy Class,773,0
0.9484,0.159,0.041,0.799,,,0.9459,0.9459,,1,1,0,0,1,False,Solo Leisure,Economy Class,685,1
-0.93,0.092,0.18,0.728,,,-0.7717,-0.7717,,1,1,0,0,1,True,Couple Leisure,Premium Economy,760,0
-0.5958,0.039,0.074,0.887,,,0.3167,0.3167,,1,1,0,0,1,True,Couple Leisure,Economy Class,665,0
0.9628,0.251,0.0,0.749,,,0.9612,,,1,1,0,1,1,True,Solo Leisure,Economy Class,336,1
0.9142,0.16,0.103,0.736,,,0.7845,0.7845,,1,1,0,0,1,False,Solo Leisure,Economy Class,754,1
0.5653,0.118,0.109,0.774,,,,0.25,,1,1,1,0,1,True,Family Leisure,Economy Class,832,0
